student_id,school_id,student_name,grade,age,gender,height_cm,weight_kg,parent_occupation,family_income,number_of_siblings,academic_performance,transport_mode
1,1,Student_1,2nd,7,Female,120.0,16.7,Farmer,31742.3,0,Low,Bus
2,1,Student_2,5th,11,Female,148.9,24.7,Unemployed,48735.4,2,High,Walk
3,1,Student_3,1st,7,Male,116.5,15.7,Teacher,57871.9,3,Medium,Bicycle
4,1,Student_4,3rd,8,Female,129.5,18.8,Teacher,82191.4,1,Low,Bus
5,1,Student_5,2nd,7,Female,120.5,17.3,Unemployed,39635.8,3,Medium,Bicycle
6,1,Student_6,2nd,7,Female,122.3,18.5,Unemployed,27550.7,3,High,Bus
7,1,Student_7,3rd,9,Female,136.4,20.7,Shopkeeper,92747.5,3,Low,Walk
8,1,Student_8,4th,10,Male,141.9,23.8,Shopkeeper,29257.5,3,High,Walk
9,1,Student_9,4th,9,Male,137.2,21.7,Unemployed,64228.2,1,Low,Bicycle
10,1,Student_10,2nd,7,Male,119.0,17.9,Farmer,35228.8,1,High,Bicycle
11,1,Student_11,4th,9,Male,135.7,20.9,Farmer,66304.6,1,High,Bicycle
12,1,Student_12,2nd,7,Female,119.2,17.0,Shopkeeper,34137.0,0,High,Walk
13,1,Student_13,4th,10,Female,143.1,23.4,Unemployed,98225.3,3,Low,Bicycle
14,1,Student_14,1st,6,Female,111.9,15.1,Teacher,47809.6,2,Low,Walk
15,1,Student_15,3rd,9,Female,133.1,,Unemployed,-92010.0,0,Medium,Bicycle
16,1,Student_16,2nd,7,Male,121.6,17.2,Teacher,42588.1,3,Medium,Bus
17,1,Student_17,2nd,8,Female,123.8,19.8,Unemployed,75516.0,1,Low,Walk
18,1,Student_18,2nd,7,Female,118.0,18.1,Teacher,78648.3,2,High,Bus
19,1,Student_19,5th,11,Female,148.4,23.8,Unemployed,42692.3,2,High,Walk
20,1,Student_20,3rd,9,Male,132.4,20.8,Shopkeeper,26595.3,3,Low,Bus
21,1,Student_21,5th,11,Male,149.4,25.3,Teacher,68533.0,1,Low,Bus
22,1,Student_22,5th,11,Male,148.4,24.8,Unemployed,50396.5,2,Medium,Bicycle
23,1,Student_23,2nd,7,Female,116.5,16.3,Engineer,59572.8,1,Low,Walk
24,1,Student_24,2nd,8,Female,125.7,18.1,Farmer,92402.2,0,Low,Bus
25,1,Student_25,5th,10,Male,144.1,,Unemployed,86286.2,3,Low,Bus
26,1,Student_26,5th,11,Male,148.8,23.1,Unemployed,26545.8,2,Medium,Walk
27,1,Student_27,1st,7,Male,115.0,,Engineer,46594.0,0,Medium,Bus
28,1,Student_28,5th,11,Male,146.0,24.1,Unemployed,72468.1,3,Medium,Bicycle
29,1,Student_29,2nd,7,Male,612.5,17.3,Unemployed,-94517.4,0,Low,Walk
30,1,Student_30,1st,7,Female,115.3,16.0,Farmer,28494.3,1,Low,Walk
31,1,Student_31,5th,10,Female,143.1,24.1,Teacher,35498.8,1,Low,Walk
32,1,Student_32,3rd,8,Female,130.8,,Engineer,36729.9,2,Low,Bicycle
33,1,Student_33,4th,9,Female,136.1,21.5,Farmer,26928.8,0,Low,Bicycle
34,1,Student_34,2nd,7,Female,123.1,17.1,Shopkeeper,65279.0,1,High,Bicycle
35,1,Student_35,2nd,7,Female,121.4,17.0,Farmer,66392.6,2,Low,Walk
36,1,Student_36,3rd,9,Male,136.3,20.8,Farmer,41496.9,3,High,Walk
37,1,Student_37,3rd,9,Female,129.4,20.4,Unemployed,69618.7,0,Low,Bus
38,1,Student_38,3rd,9,Male,134.5,19.6,Engineer,48264.2,0,Medium,Bicycle
39,1,Student_39,3rd,8,Male,129.4,18.8,Farmer,64394.1,3,Medium,Bicycle
40,1,Student_40,4th,10,Male,139.8,22.2,Unemployed,56380.0,2,Medium,Bus
41,1,Student_41,5th,11,Female,147.5,24.1,Farmer,24842.5,0,Medium,Walk
42,1,Student_42,3rd,9,Male,131.3,19.7,Teacher,65020.7,2,Low,Bus
43,1,Student_43,5th,10,Male,143.6,23.2,Farmer,57934.5,3,Medium,Bicycle
44,1,Student_44,2nd,7,Male,123.4,17.3,Engineer,96474.5,3,High,Bus
45,1,Student_45,4th,10,Female,3490.0,22.0,Shopkeeper,88425.7,3,Medium,Walk
46,1,Student_46,1st,6,Female,113.1,16.7,Unemployed,90920.2,0,High,Bicycle
47,1,Student_47,5th,11,Male,151.8,25.2,Unemployed,56557.7,3,High,Walk
48,1,Student_48,3rd,8,Female,125.2,20.1,Unemployed,83941.0,0,High,Walk
49,1,Student_49,2nd,7,Female,121.6,16.9,Unemployed,41583.7,3,High,Bicycle
50,1,Student_50,5th,10,Female,144.5,24.2,Teacher,97965.8,1,Low,Bus
51,1,Student_51,3rd,8,Male,127.1,19.0,Teacher,39541.3,3,Low,Bicycle
52,1,Student_52,4th,9,Female,135.0,,Unemployed,77702.8,3,High,Bicycle
53,1,Student_53,4th,9,Male,136.0,21.2,Unemployed,29154.2,0,Low,Bus
